Date,Energy Source,Renewable Generation
2020-02-20,Wind,105.128
2020-02-21,Biomass,54.537
2020-02-21,Geothermal,15.370000000000001
2020-02-21,Hydro,97.089
2020-02-21,Photovoltaic,73.2
2020-02-21,Wind,39.141999999999996
2020-02-22,Biomass,43.551
2020-02-22,Geothermal,15.36
2020-02-22,Hydro,80.348
2020-02-22,Photovoltaic,74.681
2020-02-22,Wind,63.652
2020-02-23,Biomass,38.657
2020-02-23,Geothermal,16.03
2020-02-23,Hydro,55.475
2020-02-23,Photovoltaic,58.197
2020-02-23,Wind,69.511
2020-02-24,Biomass,49.633
2020-02-24,Geothermal,16.19
2020-02-24,Hydro,91.292
2020-02-24,Photovoltaic,70.32
2020-02-24,Wind,74.123
2020-02-25,Biomass,51.702
2020-02-25,Geothermal,16.09
2020-02-25,Hydro,89.17999999999999
2020-02-25,Photovoltaic,51.371
2020-02-25,Wind,102.542
2020-02-26,Biomass,49.091
2020-02-26,Geothermal,16.18
2020-02-26,Hydro,92.03
2020-02-26,Photovoltaic,55.225
2020-02-26,Wind,143.203
2020-02-27,Biomass,51.039
2020-02-27,Geothermal,16.16
2020-02-27,Hydro,102.885
2020-02-27,Photovoltaic,69.576
2020-02-27,Wind,109.44
2020-02-28,Biomass,46.51
2020-02-28,Geothermal,16.28
2020-02-28,Hydro,92.92699999999999
2020-02-28,Photovoltaic,74.619
2020-02-28,Wind,122.325
2020-02-29,Biomass,41.806
2020-02-29,Geothermal,16.200000000000003
2020-02-29,Hydro,65.872
2020-02-29,Photovoltaic,54.911
2020-02-29,Wind,52.400999999999996
2020-03-01,Biomass,42.438
2020-03-01,Geothermal,16.080000000000002
2020-03-01,Hydro,67.35
2020-03-01,Photovoltaic,27.798
2020-03-01,Wind,110.112
2020-03-02,Biomass,65.156
2020-03-02,Geothermal,15.99
2020-03-02,Hydro,110.094
2020-03-02,Photovoltaic,28.357
2020-03-02,Wind,127.532
2020-03-03,Biomass,59.833
2020-03-03,Geothermal,16.19
2020-03-03,Hydro,119.407
2020-03-03,Photovoltaic,48.155
2020-03-03,Wind,133.853
2020-03-04,Biomass,62.112
2020-03-04,Geothermal,16.290000000000003
2020-03-04,Hydro,122.761
2020-03-04,Photovoltaic,63.657
2020-03-04,Wind,47.353
2020-03-05,Biomass,63.756
2020-03-05,Geothermal,16.23
2020-03-05,Hydro,131.512
2020-03-05,Photovoltaic,53.672
2020-03-05,Wind,59.526
2020-03-06,Biomass,57.728
2020-03-06,Geothermal,16.130000000000003
2020-03-06,Hydro,106.511
2020-03-06,Photovoltaic,54.045
2020-03-06,Wind,117.67
2020-03-07,Biomass,47.953
2020-03-07,Geothermal,16.23
2020-03-07,Hydro,93.207
2020-03-07,Photovoltaic,54.326
2020-03-07,Wind,48.929
2020-03-08,Biomass,40.63
2020-03-08,Geothermal,16.240000000000002
2020-03-08,Hydro,81.845
2020-03-08,Photovoltaic,73.563
2020-03-08,Wind,72.19
2020-03-09,Biomass,62.93
2020-03-09,Geothermal,16.17
2020-03-09,Hydro,108.824
2020-03-09,Photovoltaic,55.9
2020-03-09,Wind,41.234
2020-03-10,Biomass,63.327
2020-03-10,Geothermal,15.99
2020-03-10,Hydro,90.33
2020-03-10,Photovoltaic,66.658
2020-03-10,Wind,60.564
2020-03-11,Biomass,62.359
2020-03-11,Geothermal,16.17
2020-03-11,Hydro,91.252
2020-03-11,Photovoltaic,83.269
2020-03-11,Wind,21.293
2020-03-12,Biomass,53.808
2020-03-12,Geothermal,16.080000000000002
2020-03-12,Hydro,91.992
2020-03-12,Photovoltaic,64.526
2020-03-12,Wind,58.687
2020-03-13,Biomass,53.241
2020-03-13,Geothermal,16.05
2020-03-13,Hydro,101.386
2020-03-13,Photovoltaic,57.464999999999996
2020-03-13,Wind,43.131
2020-03-14,Biomass,47.381
2020-03-14,Geothermal,16.080000000000002
2020-03-14,Hydro,91.886
2020-03-14,Photovoltaic,41.092
2020-03-14,Wind,20.778
2020-03-15,Biomass,41.501
2020-03-15,Geothermal,16.11
2020-03-15,Hydro,73.449
2020-03-15,Photovoltaic,81.7
2020-03-15,Wind,73.152
2020-03-16,Biomass,48.435
2020-03-16,Geothermal,16.150000000000002
2020-03-16,Hydro,95.799
2020-03-16,Photovoltaic,85.863
2020-03-16,Wind,47.936
2020-03-17,Biomass,51.254
2020-03-17,Geothermal,16.080000000000002
2020-03-17,Hydro,85.091
2020-03-17,Photovoltaic,77.886
2020-03-17,Wind,19.198999999999998
2020-03-18,Biomass,48.613
2020-03-18,Geothermal,15.99
2020-03-18,Hydro,77.29
2020-03-18,Photovoltaic,82.219
2020-03-18,Wind,34.326
2020-03-19,Biomass,49.672
2020-03-19,Geothermal,15.99
2020-03-19,Hydro,88.176
2020-03-19,Photovoltaic,88.133
2020-03-19,Wind,16.509
2020-03-20,Biomass,45.195
2020-03-20,Geothermal,15.950000000000001
2020-03-20,Hydro,90.077
2020-03-20,Photovoltaic,78.127
2020-03-20,Wind,17.119
2020-03-21,Biomass,38.598
2020-03-21,Geothermal,15.950000000000001
2020-03-21,Hydro,85.173
2020-03-21,Photovoltaic,73.93
2020-03-21,Wind,19.739
2020-03-22,Biomass,39.185
2020-03-22,Geothermal,15.930000000000001
2020-03-22,Hydro,84.378
2020-03-22,Photovoltaic,51.317
2020-03-22,Wind,48.096000000000004
2020-03-23,Biomass,46.101
2020-03-23,Geothermal,16.1
2020-03-23,Hydro,89.816
2020-03-23,Photovoltaic,75.435
2020-03-23,Wind,115.307
2020-03-24,Biomass,41.681
2020-03-24,Geothermal,16.14
2020-03-24,Hydro,98.97800000000001
2020-03-24,Photovoltaic,76.773
2020-03-24,Wind,73.787
2020-03-25,Biomass,48.724
2020-03-25,Geothermal,16.21
2020-03-25,Hydro,86.731
2020-03-25,Photovoltaic,49.623000000000005
2020-03-25,Wind,81.952
2020-03-26,Biomass,46.385
2020-03-26,Geothermal,16.150000000000002
2020-03-26,Hydro,97.142
2020-03-26,Photovoltaic,25.901
2020-03-26,Wind,112.167
2020-03-27,Biomass,44.438
2020-03-27,Geothermal,15.96
2020-03-27,Hydro,119.896
2020-03-27,Photovoltaic,40.028999999999996
2020-03-27,Wind,48.633
2020-03-28,Biomass,41.377
2020-03-28,Geothermal,16.080000000000002
2020-03-28,Hydro,108.094
2020-03-28,Photovoltaic,74.708
2020-03-28,Wind,17.164
2020-03-29,Biomass,40.39
2020-03-29,Geothermal,15.370000000000001
2020-03-29,Hydro,94.688
2020-03-29,Photovoltaic,81.555
2020-03-29,Wind,7.222
2020-03-30,Biomass,47.124
2020-03-30,Geothermal,16.03
2020-03-30,Hydro,100.509
2020-03-30,Photovoltaic,65.755
2020-03-30,Wind,7.518
2020-03-31,Biomass,48.93
2020-03-31,Geothermal,16.080000000000002
2020-03-31,Hydro,97.453
2020-03-31,Photovoltaic,67.629
2020-03-31,Wind,47.134
2020-04-01,Biomass,52.304
2020-04-01,Geothermal,16.080000000000002
2020-04-01,Hydro,98.949
2020-04-01,Photovoltaic,91.663
2020-04-01,Wind,91.791
2020-04-02,Biomass,51.679
